simulation_id,timestamp,cycle,agent_id,name,archetype,capital,inventory_count,inventory_value,total_sales,total_purchases,total_profit,total_assets
sim_20260102102459_480238,2026-01-02T10:29:20.968750,1,agent_000,Agressive_Trader_0,Agressive_Trader,5631.22292354948,4,1937.922735271251,0,1,0,7569.145658820731
sim_20260102102459_480238,2026-01-02T10:29:20.969321,1,agent_001,Patient_Investor_1,Patient_Investor,5358.126973107383,3,1485.0613536201208,1,1,47.71164840118399,6843.188326727503
sim_20260102102459_480238,2026-01-02T10:29:20.970179,1,agent_002,Opportunist_2,Opportunist,4010.6501033431377,2,735.1000723462802,2,1,263.2617517443218,4745.750175689418
sim_20260102103240_e81bce,2026-01-02T10:35:12.212312,1,agent_000,Agressive_Trader_0,Agressive_Trader,4708.163257623218,2,531.5747036142772,1,0,213.16325762321753,5239.737961237495
sim_20260102103240_e81bce,2026-01-02T10:35:12.213230,1,agent_001,Patient_Investor_1,Patient_Investor,5000.0,3,1945.270417760095,0,0,0,6945.270417760095
sim_20260102103240_e81bce,2026-01-02T10:35:12.213600,1,agent_002,Opportunist_2,Opportunist,5291.836742376782,4,1280.532045057474,0,1,0,6572.368787434256
sim_20260102103240_e81bce,2026-01-02T10:38:46.028099,2,agent_000,Agressive_Trader_0,Agressive_Trader,4399.014099530535,1,222.42554552159405,2,0,444.01409953053445,4621.439645052129
sim_20260102103240_e81bce,2026-01-02T10:38:46.028873,2,agent_001,Patient_Investor_1,Patient_Investor,5291.836742376782,4,2237.1071601368776,0,1,0,7528.94390251366
sim_20260102103240_e81bce,2026-01-02T10:38:46.029212,2,agent_002,Opportunist_2,Opportunist,5309.149158092683,4,1297.8444607733747,1,2,213.16325762321753,6606.993618866058
sim_20260102115547_e956a3,2026-01-02T11:57:53.281204,1,agent_000,Agressive_Trader_0,Agressive_Trader,4634.063040474241,2,673.7352791363978,1,0,274.0630404742404,5307.798319610638
sim_20260102115547_e956a3,2026-01-02T11:57:53.282181,1,agent_001,Patient_Investor_1,Patient_Investor,5000.0,3,1529.7611125785788,0,0,0,6529.761112578579
sim_20260102115547_e956a3,2026-01-02T11:57:53.282507,1,agent_002,Opportunist_2,Opportunist,5365.936959525759,4,1716.9364139383997,0,1,0,7082.873373464159
sim_20260102115547_e956a3,2026-01-02T12:00:43.217419,2,agent_000,Agressive_Trader_0,Agressive_Trader,4271.762132746046,1,311.4343714082027,2,0,551.7621327460454,4583.196504154248
sim_20260102115547_e956a3,2026-01-02T12:00:43.217419,2,agent_001,Patient_Investor_1,Patient_Investor,5365.936959525759,4,1895.6980721043385,0,1,0,7261.635031630098
sim_20260102115547_e956a3,2026-01-02T12:00:43.217775,2,agent_002,Opportunist_2,Opportunist,5362.300907728195,4,1713.3003621408352,1,2,284.0630404742404,7075.60126986903
sim_20260102121425_c6e699,2026-01-02T12:23:50.030906,1,agent_000,Agressive_Trader_0,Agressive_Trader,4546.472138746285,2,1008.1192985708333,1,0,335.3521387462849,5554.591437317118
sim_20260102121425_c6e699,2026-01-02T12:23:50.030906,1,agent_001,Patient_Investor_1,Patient_Investor,4564.214743708684,2,854.6470265578231,1,0,144.21474370868452,5418.861770266507
sim_20260102121425_c6e699,2026-01-02T12:23:50.030906,1,agent_002,Opportunist_2,Opportunist,5328.465527500217,4,1782.4176840108805,0,1,0,7110.883211511097
sim_20260102121425_c6e699,2026-01-02T12:23:50.032145,1,agent_003,Risk_Taker_3,Risk_Taker,5690.208819188348,4,2053.3748132571413,0,1,0,7743.583632445489
sim_20260102121425_c6e699,2026-01-02T12:23:50.032145,1,agent_004,Conservative_4,Conservative,4208.71765749431,2,990.9308204244722,1,0,158.25765749430968,5199.648477918782
sim_20260102121425_c6e699,2026-01-02T12:23:50.032145,1,agent_005,Specialist_5,Specialist,5791.28234250569,4,2240.1756347032524,0,1,0,8031.457977208943
